localteamname,localteamodd,awayteamname,awayteamodd,winner,date
South Dakota St.,1.23,North Dakota St,4.55,South Dakota State,02.02.2024
South Dakota Coyotes,2.41,North Dakota,1.64,North Dakota Fighting Hawks,02.02.2024
Boston Celtics,1.03,Washington Wizards,15.00,Boston Celtics,10.02.2024
Milwaukee Bucks,1.07,Charlotte Hornets,10.50,Milwaukee Bucks,10.02.2024
Philadelphia 76ers,2.44,Atlanta Hawks,1.67,Philadelphia 76ers,10.02.2024
Toronto Raptors,1.78,Houston Rockets,2.23,Toronto Raptors,10.02.2024
Sacramento Kings,1.78,Denver Nuggets,2.29,Denver Nuggets,10.02.2024
Los Angeles Lakers,2.68,New Orleans Pelicans,1.58,Los Angeles Lakers,10.02.2024
Dallas Mavericks,2.30,Oklahoma City Thunder,1.88,Dallas Mavericks,10.02.2024
Los Angeles Clippers,1.08,Detroit Pistons,11.00,Detroit Pistons,10.02.2024
Portland Trail Blazers,1.50,Detroit Pistons,3.00,Portland Trail Blazers,09.02.2024
Phoenix Suns,1.45,Utah Jazz,3.20,Phoenix Suns,09.02.2024
Los Angeles Lakers,2.50,Denver Nuggets,1.68,Los Angeles Lakers,09.02.2024
Slask Wroclaw,3.10,Turk Telekom,1.48,Slask Wroclaw,06.02.2024
JL Bourg,1.72,Ulm,2.45,Ulm,06.02.2024
VMI,8.10,Chattanooga Mocs,1.08,Chattanooga Mocs,08.02.2024
