Local Team,Visitor Team,Winner
North Dakota St,South Dakota St.,Draw
North Dakota,South Dakota Coyotes,Draw
Boston Celtics,Washington Wizards,Draw
Charlotte Hornets,Milwaukee Bucks,Draw
Philadelphia 76ers,Atlanta Hawks,Atlanta Hawks
Toronto Raptors,Houston Rockets,Toronto Raptors
Denver Nuggets,Sacramento Kings,Draw
New Orleans Pelicans,Los Angeles Lakers,Draw
Oklahoma City Thunder,Dallas Mavericks,Draw
Los Angeles Clippers,Detroit Pistons,Los Angeles Clippers
Portland Trail Blazers,Detroit Pistons,Detroit Pistons
Phoenix Suns,Utah Jazz,Phoenix Suns
Los Angeles Lakers,Denver Nuggets,Draw
Slask Wroclaw,Turk Telekom,Turk Telekom
JL Bourg,Ulm,Ulm
VMI,Chattanooga Mocs,Chattanooga Mocs
